"Q","total_search","sum_linkCtg","sum_link","total_codefix"
"shaft",661,267,409,29
"bushing",392,284,35,4
"bearing",388,250,44,13
"spacer",363,123,297,24
"washer",361,252,125,19
"spring",348,221,126,18
"pin",291,172,84,7
"magnet",226,316,70,11
"shoulder bolt",216,0,337,37
"screw",203,143,7,7
"clamp",177,119,32,13
"hinge",176,97,4,2
"extrusion",175,102,108,11
"standoff",170,47,0,0
"s",169,1,5,56
"locating pins",167,74,123,8
"shaft collar",165,38,139,20
"hx",162,0,55,64
"handle",159,83,77,6
"pulley",159,89,45,4
"dowel pin",154,112,56,9
"msb",153,0,92,53
"locating pin",150,71,70,8
"key",148,135,56,9
"shoulder screw",144,0,24,8
"magnets",142,191,21,2
"shim",139,99,53,10
"hfs",139,5,6,59
"nut",139,56,42,7
"wssb",133,0,68,57
"coupling",131,111,1,2
"u-",128,0,0,53
"springs",127,63,56,5
"pins",127,82,28,1
"roller",124,105,16,3
"gear",120,62,66,13
"bracket",119,127,23,4
"set screw",114,90,6,1
"mpbz",112,0,35,46
"post",110,21,37,5
"timing pulley",109,34,89,12
"dowel",108,84,57,6
"lead screw",106,40,82,4
"precision",106,0,2,1
"spacers",105,28,73,9
"knob",105,22,97,20
"ms",104,0,26,37
"hblfsn5",104,0,99,46
"timing belt",104,41,79,16
"bushings",101,89,6,5
"retaining ring",100,69,11,3
"u",99,2,0,27
"hfs8",99,22,19,39
"dowel pins",99,63,42,6
"aluminum extrusion",99,74,20,5
"cb",98,0,27,43
"spring plunger",98,31,80,10
"bumper",98,29,137,16
"m",97,0,3,48
"pivot pin",97,0,115,16
"linear shaft",95,19,78,19
"plate",94,74,17,1
"bearings",94,72,9,2
"sfj",93,0,30,33
"h",93,0,1,39
"plunger",93,30,83,11
"washers",91,51,45,2
"bolt",91,65,16,2
"screws",90,82,3,0
"l",89,0,2,40
"hfs5",89,17,38,28
"htbn",87,0,2,35
"compression spring",87,29,62,10
"b",86,1,0,37
"rollers",86,65,18,2
"hnkk5-5",84,0,75,54
"ss",84,3,2,22
"sseb",81,0,34,31
"htpa",81,0,3,21
"stopper",80,37,42,6
"manifold",80,10,112,5
"cam follower",80,23,70,13
"shaft support",78,20,83,10
"gusset",76,10,97,20
"latch",76,9,37,5
"f",75,0,0,26
"shafts",75,40,36,4
"atp",74,0,0,18
"shoulder bolts",74,0,98,16
"stop",74,37,16,5
"bolts",74,57,10,0
"threaded rod",73,0,76,10
"collar",73,48,24,5
"linear bearing",72,0,31,12
"rod",72,48,15,3
"angle",72,42,41,7
"jp",70,0,3,22
"clevis",70,0,46,4
"sf",70,0,2,18
"gears",69,24,47,7
"aluminum",69,48,25,1
"hinges",68,36,0,1
"hfs6",68,15,38,27
"floating joint",68,11,96,9
"handles",66,42,26,5
"mdzb",65,0,38,25
"c",65,0,0,26
"box",64,3,15,16
"hxu",63,0,27,27
"jba",62,0,20,21
"ball",62,13,1,2
"p",60,0,0,18
"sfjw",60,0,27,19
"spur gear",60,14,56,5
"hex post",60,0,86,7
"scb",59,0,16,23
"sw",59,0,8,21
"rod end",59,20,27,5
"urethane",59,18,32,6
"stand off",59,7,1,0
"lh",58,0,0,38
"ttpa",58,0,6,20
"bcb",58,0,5,16
"caster",58,21,37,5
"stehn",57,0,38,29
"linear",57,27,3,2
"ball plunger",57,11,49,8
"sleeve",56,13,7,2
"n",56,0,0,14
"mc",56,0,4,25
"extrusions",56,27,38,5
"conveyor",56,36,20,1
"sp",55,0,0,10
"jbh",55,0,24,21
"thrust bearing",55,0,62,12
"ball screw",55,16,46,3
"shock absorber",55,18,49,5
"hbl",54,0,2,26
"tbn",54,0,3,19
"mb",54,0,0,6
"nuts",54,31,23,4
"sb",53,0,2,21
"clamps",53,37,3,1
"ring",53,6,3,0
"st",52,0,1,23
"kb",52,0,2,11
"u-fjc",52,0,26,11
"cable",52,14,8,1
"wssm",51,0,26,16
"psfj",51,0,22,16
"sse",51,0,3,14
"spring pin",51,23,10,0
"hb",50,0,0,32
"cable carrier",50,4,15,1
"shoulder",50,3,10,2
"socket head cap screw",50,49,1,0
"k",49,0,1,18
"stwn",49,0,33,20
"w",49,0,0,20
"slide",49,20,17,2
"bronze bushing",49,0,56,4
"wsss",49,0,22,18
"sprocket",49,19,25,6
"shims",49,34,10,2
"rubber",49,37,11,0
"hxn",48,0,0,7
"knobs",48,9,46,2
"gpa",47,0,7,22
"hf",47,0,0,23
"lf",47,0,2,9
"linear bushing",47,3,33,9
"smsb",47,0,20,17
"seb",47,0,17,15
"coupler",47,2,0,0
"sh",46,1,4,18
"hntt",46,0,10,32
"angle plate",46,27,26,5
"ball bearing",46,28,11,5
"bearing spacer",46,0,48,11
"nhx",45,0,0,6
"hdjhsn6",45,0,20,16
"stbb",43,0,24,14
"r",43,0,1,12
"geab",43,0,2,9
"nfjn",43,0,17,14
"belt",43,32,5,1
"atpa",43,0,2,14
"stud",43,16,23,3
"kp",43,0,2,3
"shaft coupling",43,27,10,0
"clevis pin",43,0,0,0
"casters",42,8,43,5
"plug",42,22,17,4
"seal",42,14,39,9
"aluminum extrusions",42,30,8,0
"ejector sleeves",42,0,2,0
"psf",41,0,7,14
"chain",41,18,25,3
"o-ring",41,22,47,4
"damper",41,7,7,1
"toggle clamp",41,8,34,9
"g",40,0,0,16
"hfs5-2020",40,0,32,19
