"Q","SERIES_CODE","total_search","sum_link","sum_linkCtg","total_codefix","total_tabcount","links_by_series"
"2gt",110302193470,16,16,0,2,20,9
"2gt",110302190510,16,16,0,4,13,5
"2gt belt",110302190510,7,6,0,4,16,6
"timing pulley and belt",110302190510,1,1,0,1,3,1
"2gt",110302194010,16,16,0,2,4,2
"sfj",110300000120,93,30,0,10,59,30
"sfj25-600",110300000120,1,1,0,1,3,1
"sfj20-600",110300000120,1,1,0,1,3,1
"sfj6-50",110300000120,1,1,0,1,3,1
"sfj6-100",110300000120,3,4,0,4,12,4
"linear shaft",110300000120,95,78,19,9,59,29
"linear shaft",110300000550,95,78,19,3,15,6
"ssfj",110300000120,25,14,0,5,26,14
"ssfj12-160",110300000120,1,2,0,2,2,2
"linear shaft",110300000910,95,78,19,1,4,2
"linear shaft",110302148940,95,78,19,1,6,2
"ssfj6-60",110300000120,6,4,0,4,10,4
"sfj6-45",110300000120,1,1,0,1,3,1
"sfjw",110300000550,60,27,0,8,66,27
"sfjw20-400-m6-n6",110300000550,2,2,0,2,8,2
"sfjw25-600-m6-n6",110300000550,1,1,0,1,4,1
"psfjw20-600-m6-n6",110300000550,2,2,0,2,8,2
"sfjw20-600-m6-n6",110300000550,2,1,0,1,4,1
"psfar",110300005720,4,1,0,1,6,1
"retaining ring",110300005720,100,11,69,2,11,3
"sfar",110300005720,8,6,0,2,18,6
"linear shaft",110300005720,95,78,19,1,6,1
"linear shaft",110300000370,95,78,19,1,3,2
"psfg",110300000120,25,14,0,7,32,14
"precision linear shaft",110300000120,18,21,0,3,33,8
"precision shaft",110302148420,14,15,0,3,16,4
"shaft",110302148420,661,409,267,1,39,27
"shaft",110300000120,661,409,267,12,711,286
"sfj6-385",110300000120,1,1,0,1,1,1
"ssfu12-165",110300000120,1,1,0,1,2,1
"shaft",110300000550,661,409,267,2,18,8
"shaft",110300000820,661,409,267,1,4,4
"shaft",110300000210,661,409,267,2,13,6
"shaft one end tapped",110300000210,2,1,0,1,3,1
"shaft",110302148760,661,409,267,1,13,7
"pssfg",110300000120,18,6,0,4,9,6
"shaft",110300001340,661,409,267,3,8,5
"shaft",110302148670,661,409,267,2,6,4
"threaded shaft",110300002310,17,9,0,0,2,1
"shaft",110300002310,661,409,267,1,3,2
"drcbw",110302282910,6,3,0,2,3,3
"hfs8-9090-520",110302372760,3,3,0,3,3,3
"lhkmcl25",110300028030,1,1,0,1,2,1
"mhcts",110300036160,1,1,0,1,2,1
"utt8-10",110302288150,1,1,0,0,2,1
"utt5-15",110302288150,2,2,0,1,3,2
"utt6",110302288150,1,1,0,1,2,1
"pjlk",110300142830,10,8,0,4,16,8
"pjxw",110300142830,5,3,0,1,4,3
"lead screw",110300084820,106,82,40,1,2,1
"lead screw",110300085070,106,82,40,1,1,1
"lead screw",110300082020,106,82,40,1,10,5
"lead screw",110300083060,106,82,40,1,29,9
"lead screw",110300081410,106,82,40,1,2,2
"lead screw",110300078860,106,82,40,1,19,9
"ttpa",110300406820,58,6,0,2,9,5
"ttpa12",110300406820,2,1,0,1,2,1
"ttpa12t5100-a-p6-a",110300406820,2,3,0,2,6,3
"stfhn",110300595640,24,14,0,4,34,14
"stehn",110300595640,57,38,0,18,85,38
"shcdg3-14",110300095750,2,2,0,1,4,2
"shcdg",110300095750,12,6,0,3,13,6
"pivot pin",110300095750,97,115,0,7,50,23
"shcdg6-15",110300095750,1,1,0,1,3,1
"mc04-4l",110302206520,2,5,0,4,7,5
"pl",110200106850,26,2,0,1,3,2
"stopper",110300596520,80,42,37,1,4,2
"stopper",110302402160,80,42,37,1,5,3
"stopper",110300138450,80,42,37,1,6,3
"stopper",110300138810,80,42,37,1,3,1
"stopper",110300597560,80,42,37,1,6,2
"bcb",110300240830,58,5,0,3,8,5
"stehn13b",110300595640,1,1,0,1,2,1
"stehn10b",110300595640,2,4,0,2,8,4
"stfhn10-5",110300595640,2,2,0,0,4,2
"stehn1",110300595640,2,1,0,1,1,1
"stehn10",110300595640,22,15,0,4,30,15
"pspjw16-232-",110300006510,1,1,0,1,1,1
"cb",110300239070,98,27,0,4,35,17
"cb",110100141750,98,27,0,1,9,8
"rcb",110300241350,11,10,0,9,19,10
"rscb",110300241350,7,3,0,0,5,3
"psf",110300000120,41,7,0,1,8,6
"psfjt30-270-m12",110300000210,0,1,0,1,1,1
"gbn9963gt-60",110302190510,2,3,0,3,9,3
"ub",110300275470,5,3,0,1,2,1
"md",110300037740,15,1,0,1,1,1
"mdzf",110300037470,26,7,0,4,15,7
"cbstsr",110302280540,11,4,0,2,9,4
"ubb6-5",110302288760,1,1,0,0,2,1
"ubb5-5",110302288760,0,1,0,1,2,1
"tun285l100",110300413030,1,1,0,1,1,1
"angle brackets",110302464730,14,2,3,1,3,1
"bracket",110302032220,119,23,127,1,3,1
"bracket",110300458620,119,23,127,1,4,1
"hinge",110302189810,176,4,97,1,4,1
"cbm",110300239430,14,6,0,4,8,5
"scb",110302261370,59,16,0,1,2,2
"cbm",110302261370,14,6,0,1,1,1
"hntt",110302246150,46,10,0,1,6,1
"hntt5",110302246150,13,13,0,5,29,13
"pack-hntt",110302246150,3,1,0,1,6,1
"hntt5-5",110302246150,18,13,0,12,32,13
"hntt8-",110302256040,1,2,0,2,4,2
"hntt",110302256040,46,10,0,3,9,5
"hntt8",110302256040,15,7,0,5,9,7
"hntt",110302251050,46,10,0,4,4,4
"pack-hntt6",110302251050,2,2,0,2,2,2
"hntt8_8",110302256040,1,1,0,0,2,1
"hntt8-6",110302256040,5,4,0,2,9,4
"hntt6",110302251050,16,13,0,9,26,13
"hnttsn8",110302256040,6,6,0,6,14,6
"bjs8a",110300079560,1,1,0,1,4,1
"se2",110300041510,4,1,0,1,2,1
"bssrk1010",110300077640,3,1,0,1,1,1
"bssrk",110300077640,9,4,0,1,1,1
"maks06",110300269350,0,1,0,1,2,1
"stwn15",110300258330,4,4,0,1,7,4
"stwn",110300258330,49,33,0,13,70,33
"stwn10",110300258330,6,2,0,2,7,2
"stws",110300258330,16,10,0,7,22,10
"jksg",110300071610,11,8,0,4,19,8
"jksg24-540-s1",110300071610,1,1,0,1,4,1
"jksg24",110300071610,0,1,0,1,1,1
"uh6-5",110302288240,1,1,0,0,2,1
"uh",110302288240,11,1,0,1,2,1
"stwn20",110300258330,4,5,0,5,9,5
"sp60b30",110300431930,2,1,0,1,2,1
"sp60b",110300431930,8,4,0,4,8,4
"sp60b25",110300431930,1,1,0,1,2,1
"b606zz",110300107560,3,3,0,2,7,3
"sfxaa",110300090150,4,3,0,3,7,3
"ssp60b",110300431930,5,3,0,2,6,3
"bu",110300079920,15,1,0,1,1,1
"gealb2.5-40-25-e-28 keyless spur gear",110300429130,4,2,0,2,4,2
"gpa",110300260070,47,7,0,5,19,5
"gpa25",110302193470,2,2,0,1,3,1
"gpa32gt2060",110302193470,1,1,0,0,3,1
"gpa",110302193470,47,7,0,1,3,1
"gpa15",110302193470,2,1,0,0,3,1
"gpa25-gt",110300260070,1,1,0,1,1,1
"geakbh",110300429040,13,6,0,5,16,6
"mxl",110300405420,14,15,0,3,16,7
"mxl",110302161540,14,15,0,1,1,1
"mxl",110300413030,14,15,0,3,11,7
"mtpb23mxl037_b_huc_2_03",110300405420,2,1,0,1,2,1
"linear bearing",110302150610,72,31,0,1,4,3
"linear bearing",110302037730,72,31,0,1,2,2
"linear bearing",110302148420,72,31,0,1,4,2
"hfs5-2020-420",110302368740,31,24,0,24,58,24
"hfs5-2020-300",110302368740,21,21,0,20,42,21
"hfs5-2020-340",110302368740,20,18,0,18,37,18
"hfsb5-2020-340",110302368740,7,7,0,4,12,7
"hfsb5-2020-300",110302368740,11,11,0,8,21,11
"hfsb5-2020-420",110302368740,10,11,0,5,17,11
"extrusion",110302368740,175,108,102,10,49,20
"hfs5-2020-320",110302368740,2,1,0,1,1,1
"hfs5-2020-500",110302368740,7,7,0,7,20,7
"hfs5-2020-500-ah180",110302368740,1,1,0,1,3,1
"safz",110300002740,7,5,0,1,7,5
"safs",110300001430,7,5,0,5,10,5
"safs8",110300001430,2,1,0,1,2,1
"safs12_40_f15_mmc10_sc7",110300001430,1,1,0,0,2,1
"usstmh6",110300596250,1,1,0,1,1,1
"pfssn6",110300146060,3,4,0,3,8,4
"pfssn",110300146060,5,2,0,0,3,2
"sfpdc4",110300562830,1,1,0,1,2,1
"msb",110100143940,153,92,0,17,58,35
"msb",110300249140,153,92,0,18,123,54
"shoulder bolt",110300249140,216,337,0,19,189,89
"msb10-85",110100143940,2,2,0,0,2,1
"msb12-30",110300249140,7,8,0,5,11,7
"smsb",110300249140,47,20,0,7,56,20
"msb10-35",110300249140,3,3,0,1,4,2
"msb",110100142970,153,92,0,1,4,3
"msc10",110300255260,0,1,0,1,5,1
"msc",110300255260,32,7,0,4,20,7
"ms",110300255260,104,26,0,4,32,19
"mhpks204-50-20-a",110301962740,0,1,0,1,2,1
"mhpks204-50-20",110301962740,1,1,0,1,2,1
"stop",110300595640,74,16,37,1,14,5
"stops",110300595910,20,6,9,1,9,3
"stop",110300595910,74,16,37,1,3,1
"lm",110300026540,14,2,0,2,4,2
"lmut",110300026450,4,2,0,2,8,2
"mc01-2",110302203270,5,5,0,1,3,2
"mc01-2",110302203360,5,5,0,2,6,3
"mc01-3",110302203360,7,6,0,2,5,3
"belt",110302190510,43,5,32,1,2,1
"hblfsdw5",110300437170,15,9,0,4,21,9
"hfs5-4080-1620",110302368920,6,4,0,4,4,4
"dowel",110300255260,108,57,84,2,15,13
"dowel",110302390710,108,57,84,2,10,4
"msht5-15",110302390710,3,1,0,1,1,1
"scsnn20",110300020510,2,2,0,1,4,2
