"Q","cat_name_1","cat_name_2","cat_name_3","cat_name_4","cat_name_5","SERIES_CODE","total_search","sum_link","sum_linkCtg","LinkCtg","total_codefix_linkCtg"
"shaft","Linear Motion","Linear Shafts",,,,,661,409,267,113,0
"shaft","Rotary Motion","Rotary Shafts, Drive Shafts",,,,,661,409,267,97,0
"shaft","Linear Motion","Linear Shafts",,,,110300000550,661,409,267,10,14
"shaft","Linear Motion","Linear Shafts",,,,110300000120,661,409,267,10,10
"shaft","Linear Motion","Linear Shafts",,,,110302148420,661,409,267,7,6
"shaft","Linear Motion","Shaft Supports",,,,,661,409,267,6,0
"shaft","Rotary Power Transmission","Shaft Couplings",,,,,661,409,267,5,0
"shaft","Linear Motion","Shaft Collars",,,,,661,409,267,5,0
"shaft","Linear Motion","Spline Shaft",,,,,661,409,267,4,0
"shaft","Rotary Power Transmission","Shaft Couplings",,,,110300607630,661,409,267,3,4
"shaft","Rotary Power Transmission","Shaft Couplings",,,,110300123930,661,409,267,3,1
"shaft","Linear Motion","Linear Shafts",,,,110300516720,661,409,267,2,1
"shaft","Linear Motion","Linear Shafts",,,,110300319750,661,409,267,2,1
"shaft","Linear Motion","Shaft Supports",,,,110300010440,661,409,267,2,1
"shaft","Linear Motion","Shaft Supports",,,,110300011750,661,409,267,2,2
"shaft","Linear Motion","Linear Shafts",,,,110300001070,661,409,267,1,1
"shaft","Linear Motion","Linear Shafts",,,,110300001770,661,409,267,1,2
"shaft","Linear Motion","Linear Shafts",,,,110302148760,661,409,267,1,2
"shaft","Linear Motion","Linear Shafts",,,,110300001610,661,409,267,1,1
"shaft","Linear Motion","Shaft Supports",,,,110300604740,661,409,267,1,1
"shaft","Linear Motion","Shaft Supports",,,,110300021120,661,409,267,1,1
"shaft","Rotary Power Transmission","Shaft Couplings",,,,110300126910,661,409,267,1,1
"shaft","Rotary Power Transmission","Shaft Couplings",,,,110300126030,661,409,267,1,3
"shaft","Rotary Power Transmission","Shaft Couplings",,,,110300126460,661,409,267,1,3
"shaft","Adjusting, Fastening,  Magnets","Retaining Rings, Pins, Machine Keys","Retaining Ring","C Type Retaining Rings (for Shafts)",,,661,409,267,1,0
"bushing","Linear Motion","Oil Free Bushings, Washers",,,,,392,35,284,70,0
"bushing","Punches & Dies","Punch Guide Bushings",,,,,392,35,284,34,0
"bushing","Locating, Positioning, Jigs & Fixtures","Locating Pins, Bushings",,,,,392,35,284,27,0
"bushing","Inspection","Automotive Inspection Components","Bushings for Inspection Fixtures",,,,392,35,284,26,0
"bushing","Linear Motion","Linear Bushings",,,,,392,35,284,26,0
"bushing","Guide Components","Guide Components","Guide Bushings",,,,392,35,284,22,0
"bushing","Linear Motion","Oil Free Bushings, Washers",,,,110300032930,392,35,284,10,7
"bushing","Linear Motion","Oil Free Bushings, Washers",,,,110300032230,392,35,284,9,12
"bushing","Linear Motion","Oil Free Bushings, Washers",,,,110300038010,392,35,284,8,2
"bushing","Linear Motion","Oil Free Bushings, Washers",,,,110300037470,392,35,284,8,2
"bushing","Guide Components","Holder Guide Post Sets","Guide Bushings",,,,392,35,284,8,0
"bushing","Linear Motion","Oil Free Bushings, Washers",,,,110300038350,392,35,284,7,5
"bushing","Linear Motion","Oil Free Bushings, Washers",,,,110300031960,392,35,284,5,7
"bushing","Inspection","Automotive Inspection Components","Bushings for Inspection Fixtures",,,110300172930,392,35,284,5,10
"bushing","Inspection","Automotive Inspection Components","Bushings for Inspection Fixtures",,,110300173540,392,35,284,4,19
"bushing","Core Pins","For Boss, Round Shank, Inlay Core Pins","Inlay Bushings",,,,392,35,284,4,0
"bushing","Linear Motion","Oil Free Bushings, Washers",,,,110300038170,392,35,284,3,2
"bushing","Rotary Power Transmission","Keyless Bushing (Fastening Fittings)",,,,,392,35,284,3,0
"bushing","Leader Components, Components for Ejector Space","Leader Components","Leader Bushings",,,,392,35,284,3,0
"bushing","Linear Motion","Oil Free Bushings, Washers",,,,110300031870,392,35,284,2,2
"bushing","Guide Components","Guide Components","Guide Bushings",,,110100164420,392,35,284,2,2
"bushing","Linear Motion","Linear Bushings",,,,110300027060,392,35,284,2,2
"bushing","Guide Components","Guide Posts and Bushings for Die Sets",,,,,392,35,284,2,0
"bushing","Linear Motion","Oil Free Bushings, Washers",,,,110300031260,392,35,284,1,1
"bushing","Linear Motion","Oil Free Bushings, Washers",,,,110302152440,392,35,284,1,1
"bushing","Linear Motion","Oil Free Bushings, Washers",,,,110302151560,392,35,284,1,1
"bushing","Inspection","Automotive Inspection Components","Bushings for Inspection Fixtures",,,110300175730,392,35,284,1,1
"bushing","Inspection","Automotive Inspection Components","Bushings for Inspection Fixtures",,,110300175550,392,35,284,1,1
"bushing","Inspection","Automotive Inspection Components","Bushings for Inspection Fixtures",,,110300177310,392,35,284,1,1
"bushing","Guide Components","Guide Components","Guide Bushings",,,110100164510,392,35,284,1,1
"bushing","Linear Motion","Linear Bushings",,,,110300027760,392,35,284,1,2
"bushing","Linear Motion","Linear Bushings",,,,110300026360,392,35,284,1,1
"bushing","Linear Motion","Linear Bushings",,,,110302209660,392,35,284,1,1
"bushing","Guide Components","Holder Guide Post Sets","Guide Bushings",,,110100163110,392,35,284,1,1
"bushing","Guide Components","Stripper Guide Pins and Bushings",,,,,392,35,284,1,0
"bearing","Rotary Motion","Bearings",,,,,388,44,250,98,0
"bearing","Rotary Motion","Bearing Units",,,,,388,44,250,16,0
"bearing","Rotary Motion","Bearings",,,,110302272750,388,44,250,15,8
"bearing","Rotary Motion","Bearings with Housings",,,,,388,44,250,13,0
"bearing","Rotary Motion","Bearings",,,,110302399970,388,44,250,9,7
"bearing","Rotary Motion","Bearings with Housings",,,,110300100130,388,44,250,9,23
"bearing","Rotary Motion","Bearings",,,,110300107650,388,44,250,8,9
"bearing","Rotary Motion","Bearings",,,,110302273360,388,44,250,8,4
"bearing","Rotary Motion","Bearings with Housings",,,,110300099950,388,44,250,7,11
"bearing","Rotary Motion","Other Bearing Related Components",,,,,388,44,250,7,0
"bearing","Rotary Motion","Bearings",,,,110302272840,388,44,250,6,6
"bearing","Rotary Motion","Bearings",,,,110300117110,388,44,250,6,5
"bearing","Rotary Motion","Bearings with Housings",,,,110300105210,388,44,250,6,5
"bearing","Rotary Motion","Bearings with Housings",,,,110300405670,388,44,250,6,1
"bearing","Rotary Motion","Bearings with Housings",,,,110302024070,388,44,250,6,1
"bearing","Rotary Motion","Bearings",,,,110300107740,388,44,250,5,5
"bearing","Rotary Motion","Bearings",,,,110302273540,388,44,250,4,4
"bearing","Rotary Motion","Bearings",,,,110302400060,388,44,250,4,1
"bearing","Rotary Motion","Bearings",,,,110300107560,388,44,250,4,5
"bearing","Rotary Motion","Bearings",,,,110300108620,388,44,250,3,3
"bearing","Rotary Motion","Bearings",,,,110300115350,388,44,250,3,3
"bearing","Rotary Motion","Bearings with Housings",,,,110300105550,388,44,250,3,2
"bearing","Rotary Motion","Bearing Nuts, Washers",,,,,388,44,250,3,0
"bearing","Rotary Motion","Bearing Units",,,,110302274240,388,44,250,3,1
"bearing","Conveyors & Material Handling","Bearings with Resin",,,,,388,44,250,3,0
"bearing","Rotary Motion","Bearings",,,,110302273720,388,44,250,2,2
"bearing","Rotary Motion","Bearings",,,,110302273450,388,44,250,2,2
"bearing","Rotary Motion","Bearings",,,,110300108870,388,44,250,2,3
"bearing","Rotary Motion","Bearings with Housings",,,,110300103970,388,44,250,2,2
"bearing","Rotary Motion","Bearings with Housings",,,,110300104420,388,44,250,2,3
"bearing","Rotary Motion","Bearing Nuts, Washers",,,,110300114130,388,44,250,2,1
"bearing","Rotary Motion","Bearing Units",,,,110300109230,388,44,250,2,1
"bearing","Conveyors & Material Handling","Bearings with Resin",,,,110300425110,388,44,250,2,1
"bearing","Pneumatics, Hydraulics","Cylinder Connecting Components","Rod End Bearings, Spherical Bearings",,,,388,44,250,2,0
"bearing","Rotary Motion","Bearings",,,,110300116230,388,44,250,1,1
