"Q","cat_name_1","cat_name_2","cat_name_3","cat_name_4","cat_name_5","total_search","sum_link","sum_linkCtg","LinkCtg","total_codefix_linkCtg","ConvRate"
"shaft","Linear Motion","Linear Shafts",,,,661,409,267,148,38,0.223903177004539
"shaft","Rotary Motion","Rotary Shafts, Drive Shafts",,,,661,409,267,97,0,0.146747352496218
"shaft","Rotary Power Transmission","Shaft Couplings",,,,661,409,267,14,12,0.0211800302571861
"shaft","Linear Motion","Shaft Supports",,,,661,409,267,12,5,0.0181543116490166
"shaft","Linear Motion","Shaft Collars",,,,661,409,267,5,0,0.0075642965204236
"shaft","Linear Motion","Spline Shaft",,,,661,409,267,4,0,0.00605143721633888
"shaft","Adjusting, Fastening,  Magnets","Retaining Rings, Pins, Machine Keys","Retaining Ring","C Type Retaining Rings (for Shafts)",,661,409,267,1,0,0.00151285930408472
"bushing","Linear Motion","Oil Free Bushings, Washers",,,,392,35,284,125,42,0.318877551020408
"bushing","Inspection","Automotive Inspection Components","Bushings for Inspection Fixtures",,,392,35,284,38,32,0.0969387755102041
"bushing","Punches & Dies","Punch Guide Bushings",,,,392,35,284,34,0,0.086734693877551
"bushing","Linear Motion","Linear Bushings",,,,392,35,284,31,6,0.0790816326530612
"bushing","Locating, Positioning, Jigs & Fixtures","Locating Pins, Bushings",,,,392,35,284,27,0,0.0688775510204082
"bushing","Guide Components","Guide Components","Guide Bushings",,,392,35,284,25,3,0.0637755102040816
"bushing","Guide Components","Holder Guide Post Sets","Guide Bushings",,,392,35,284,9,1,0.0229591836734694
"bushing","Core Pins","For Boss, Round Shank, Inlay Core Pins","Inlay Bushings",,,392,35,284,4,0,0.0102040816326531
"bushing","Rotary Power Transmission","Keyless Bushing (Fastening Fittings)",,,,392,35,284,3,0,0.0076530612244898
"bushing","Leader Components, Components for Ejector Space","Leader Components","Leader Bushings",,,392,35,284,3,0,0.0076530612244898
"bushing","Guide Components","Guide Posts and Bushings for Die Sets",,,,392,35,284,2,0,0.00510204081632653
"bushing","Guide Components","Stripper Guide Pins and Bushings",,,,392,35,284,1,0,0.00255102040816327
"bearing","Rotary Motion","Bearings",,,,388,44,250,187,76,0.481958762886598
"bearing","Rotary Motion","Bearings with Housings",,,,388,44,250,62,60,0.15979381443299
"bearing","Rotary Motion","Bearing Units",,,,388,44,250,23,6,0.0592783505154639
"bearing","Rotary Motion","Other Bearing Related Components",,,,388,44,250,10,3,0.0257731958762887
"bearing","Rotary Motion","Bearing Nuts, Washers",,,,388,44,250,5,1,0.0128865979381443
"bearing","Conveyors & Material Handling","Bearings with Resin",,,,388,44,250,5,1,0.0128865979381443
"bearing","Pneumatics, Hydraulics","Cylinder Connecting Components","Rod End Bearings, Spherical Bearings",,,388,44,250,2,0,0.00515463917525773
"bearing","Antivibration, Soundproofing Materials, Safety Products","Wires, Chains, Metal Fittings, Small Work Pieces","Parts, Small Work Pieces","Bearing Balls",,388,44,250,1,0,0.00257731958762887
"spacer","Components/Peripheral Components","Components","Spacers, Shims",,,363,297,123,65,11,0.179063360881543
"spacer","Accessories, Others","Screws, Washers","Spacers, Washers",,,363,297,123,45,20,0.12396694214876
"spacer","Leader Components, Components for Ejector Space","Components for Positioning","Tapered Pin Spacer",,,363,297,123,6,1,0.0165289256198347
"spacer","Punches & Dies","Punches","Components for Punches","Punch Spacers And Shims",,363,297,123,6,0,0.0165289256198347
"spacer","Punches & Dies","Button Dies","Spacers, Collars For Button Dies",,,363,297,123,2,0,0.00550964187327824
"spacer","Guide Components","Holder Guide Post Sets","Components For Holder Guide Post Sets","Spacers For Holder Guide Post Set",,363,297,123,2,0,0.00550964187327824
"washer","Adjusting, Fastening,  Magnets","Washers, Collars",,,,361,125,252,148,0,0.409972299168975
"washer","Adjusting, Fastening,  Magnets","Screws, Washers, Nuts",,,,361,125,252,22,0,0.0609418282548476
"washer","Springs, Shock Absorbers","Urethane, Rubber, Sponge, Felt","Urethane Washers",,,361,125,252,17,15,0.0470914127423823
