"Q","CategoryId","total_LinkCtg","sort_order"
"bearing","M0802000000",165,1
"washer","M1803000000",148,2
"shaft","M0101000000",141,3
"bushing","M0107000000",110,4
"magnet","K1008000000",101,5
"coupling","M1001000000",100,6
"magnet","P0302050000",97,7
"shaft","M0801000000",97,8
"set screw","M1802031200",84,9
"dowel pin","P0302010000",81,10
"magnet","M1805000000",77,11
"key","P0101140600",75,12
"screw","M1802000000",74,13
"magnets","P0302050000",71,14
"spring","M1202000000",70,15
"retaining ring","M1804000000",69,16
"spacer","P0302070000",64,17
"gear","M1006000000",59,18
"roller","M1105000000",57,19
"extrusion","M1500000000",53,20
"magnets","K1008000000",52,21
"dowel pins","P0302010000",51,22
"key","P0303050400",51,23
"magnets","M1805000000",51,24
"bracket","M1603000000",50,25
"pulley","M1002000000",48,26
"shim","M1801000000",47,27
"standoff","M1605000000",47,28
"dowel","P0302010000",45,29
"hinge","M1708000000",43,30
"pin","M0301000000",43,31
"spacer","K1004020000",43,32
"rollers","M1105000000",42,33
"bearings","M0802000000",41,34
"clamp","M0303000000",41,35
"rod","M1401010000",41,36
"bearing","M0806000000",40,37
"handle","M1708000000",40,38
"lead screw","M0115000000",40,39
"pin","M0808000000",40,40
"screws","M1802000000",39,41
"bushings","M0107000000",38,42
"shaft collar","M0103000000",38,43
"bushing","M0501020000",37,44
"aluminum extrusion","M1501010000",35,45
"bolts","M1802030000",35,46
"bushing","P0103000000",34,47
"timing belt","M1002000000",34,48
"timing pulley","M1002000000",34,49
"locating pins","P0304030000",33,50
"shim","P0302070000",33,51
"socket head cap screw","M1802031100",33,52
"springs","M1202000000",33,53
"extrusion","M1501000000",32,54
"nut","M1802000000",32,55
"washers","M1803000000",30,56
"bushing","M0104000000",29,57
"compression spring","M1202030000",29,58
"spring","P0201080400",29,59
"bracket","M1602050000",28,60
"locating pin","P0304030000",28,61
"locating pins","M0301000000",28,62
"pulley","M1003000000",28,63
"set screws","M1802031200",28,64
"angle plate","M1605000000",27,65
"ball bearing","M0802010000",27,66
"bolt","M1802030000",27,67
"bushing","M0301000000",27,68
"shaft coupling","M1001000000",27,69
"spring","P0202070200",27,70
"bushing","P0204020000",25,71
"dowel","K1007000000",25,72
"handle","M1701000000",25,73
"angle","M1605000000",24,74
"gears","M1006000000",24,75
"hinge","M1502010000",24,76
"hinge","M1920020000",24,77
"locating pin","M0301000000",24,78
"screw","M1501020400",24,79
"bearing","M0805000000",23,80
"bumper","M1201050000",23,81
"cam follower","M0807000000",23,82
"handles","M1708000000",23,83
"stopper","M0304040000",23,84
"aluminum plate","M1401020100",22,85
"dowel pin","K1007000000",22,86
